Stock,Annual_Return,Volatility,Sharpe,Sortino,VaR_95,CVaR_95,Max_Drawdown
ADANIPORTS,0.1324714158615711,0.48210834951628123,0.15032184349075225,0.17386260020473301,-0.03901300433477827,-0.06332336448362544,-0.917396458755593
ASIANPAINT,0.20272317885339544,0.3548751263061114,0.4021785926193203,0.39097740202820724,-0.02464900071789323,-0.042352925003521946,-0.9248048186299899
AXISBANK,0.2967308206312374,0.4848304407856878,0.4882754891537039,0.6173878192857927,-0.04155630042595478,-0.06345416525507046,-0.8501742160278745
BAJAJ-AUTO,0.2084458943082787,0.33883397419958433,0.43810805766732025,0.5131758861778692,-0.027118912080961392,-0.04532205034145183,-0.5991511318242343
BAJAJFINSV,0.32314853284034223,0.4009395792068002,0.6563296478759791,0.924422886674348,-0.0349323983030625,-0.055686809768391396,-0.867894315452362
BAJFINANCE,0.3899019249268999,0.48660918167365447,0.6779607482789948,0.8205325722479735,-0.0385095011876484,-0.06298466589488246,-0.9328201662380522
BHARTIARTL,0.2142525135166394,0.3998991896178808,0.38572849738463794,0.5502909787121751,-0.03513001046877746,-0.05182776863833046,-0.7847465908586151
BPCL,0.1229955721449049,0.46815647382051817,0.13456093350757825,0.15916380189118384,-0.03870047154551761,-0.06455525514811564,-0.7730521485926056
BRITANNIA,0.15069443698791316,0.33568590940558296,0.27017647880577017,0.2801304430034674,-0.02421221441269553,-0.03984828536614453,-0.8536304097130051
CIPLA,0.08177590017611513,0.38706124413975845,0.05625957262787183,0.05891070585701045,-0.029270918499812223,-0.049855546589653556,-0.890735369390889
COALINDIA,-0.04726035791633653,0.2982623958424906,-0.3596174355582513,-0.5333914683845082,-0.029184682733253184,-0.04130527629006561,-0.7506765899864681
DRREDDY,0.1331369335377246,0.3690254610467924,0.19818939682443995,0.22765110277131043,-0.030399517228349677,-0.05185293423395222,-0.8130794412374741
EICHERMOT,0.34703991897786657,0.48039932471115326,0.5975027528409902,0.7474770440642405,-0.037277148336507665,-0.05962805320491219,-0.9382370796620407
GAIL,0.12155746816774171,0.4030958254179275,0.15271174814058003,0.1839064518672863,-0.0330682656715563,-0.05480552074830045,-0.8723325974981605
GRASIM,0.15624268687330609,0.39558316075988076,0.24329318439246087,0.2744311943354741,-0.03256764518669141,-0.05349010509203212,-0.9243109286619624
HCLTECH,0.12116783188303902,0.5162707037090039,0.11848015284151474,0.13319829800985955,-0.043679441909262234,-0.0763881288792063,-0.9681818987992835
HDFC,0.21121279585174094,0.4142103774689085,0.36506278953161037,0.4096365903157885,-0.0325275806428368,-0.053740894571596365,-0.8147414430136943
